Franquicia,Producto,Cantidad,Venta,Fecha
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,2,130.0,2024-12-30
Carretera Mex-Toluca 48-5,Café Café de olla 473ml,2,130.0,2024-12-30
Carretera Mex-Toluca 48-5,Sincronizadas ,1,120.0,2024-12-30
Carretera Mex-Toluca 48-5,Chilaquiles Verde,1,120.0,2024-12-30
Carretera Mex-Toluca 48-5,Adelitas Quesos,1,105.0,2024-12-30
Carretera Mex-Toluca 48-5,Café Americano 473ml,2,100.0,2024-12-30
Carretera Mex-Toluca 48-5,Café Americano 354 ml.,2,86.0,2024-12-30
Carretera Mex-Toluca 48-5,Congelando Momentos ,1,85.0,2024-12-30
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,1,75.0,2024-12-30
Carretera Mex-Toluca 48-5,Granizados. 473 ml,1,75.0,2024-12-30
Carretera Mex-Toluca 48-5,Rellenos 1 Pza.,2,58.0,2024-12-30
Carretera Mex-Toluca 48-5,Salsas Cajeta,2,20.0,2024-12-30
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,6,414.0,2024-12-31
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,5,325.0,2024-12-31
Carretera Mex-Toluca 48-5,Enchiladas ,2,240.0,2024-12-31
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,3,225.0,2024-12-31
Carretera Mex-Toluca 48-5,Frappes. 473 ml,2,150.0,2024-12-31
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,2,148.0,2024-12-31
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,2,138.0,2024-12-31
Carretera Mex-Toluca 48-5,Molletes ,1,120.0,2024-12-31
Carretera Mex-Toluca 48-5,Sincronizadas ,1,120.0,2024-12-31
Carretera Mex-Toluca 48-5,Churros 12 Pzas.,1,113.0,2024-12-31
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,2,78.0,2024-12-31
Carretera Mex-Toluca 48-5,Té 473 ml,2,70.0,2024-12-31
Carretera Mex-Toluca 48-5,Café Café Latte 473 ml.,1,69.0,2024-12-31
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,1,69.0,2024-12-31
Carretera Mex-Toluca 48-5,Café Capuccino 354 ml.,1,60.0,2024-12-31
Carretera Mex-Toluca 48-5,Café Café Latte 354 ml.,1,60.0,2024-12-31
Carretera Mex-Toluca 48-5,Rellenos 1 Pza.,2,58.0,2024-12-31
Carretera Mex-Toluca 48-5,Café Americano 473ml,1,50.0,2024-12-31
Carretera Mex-Toluca 48-5,Buñuelos ,1,39.0,2024-12-31
Carretera Mex-Toluca 48-5,Café Espresso 60 ml.,1,39.0,2024-12-31
Carretera Mex-Toluca 48-5,Salsas Cajeta,3,30.0,2024-12-31
Carretera Mex-Toluca 48-5,Enchiladas ,5,600.0,2024-01-02
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,6,390.0,2024-01-02
Carretera Mex-Toluca 48-5,Café Capuccino 354 ml.,5,300.0,2024-01-02
Carretera Mex-Toluca 48-5,Molletes ,2,240.0,2024-01-02
Carretera Mex-Toluca 48-5,Rellenos 1 Pza.,8,232.0,2024-01-02
Carretera Mex-Toluca 48-5,Churros 12 Pzas.,2,226.0,2024-01-02
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,3,225.0,2024-01-02
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,3,222.0,2024-01-02
Carretera Mex-Toluca 48-5,Buñuelos ,5,195.0,2024-01-02
Carretera Mex-Toluca 48-5,Café Americano 354 ml.,4,172.0,2024-01-02
Carretera Mex-Toluca 48-5,Malteadas. 354 ml,2,170.0,2024-01-02
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,4,156.0,2024-01-02
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,2,138.0,2024-01-02
Carretera Mex-Toluca 48-5,Café Mocha 473 ml.,2,138.0,2024-01-02
Carretera Mex-Toluca 48-5,Frappes. 354 ml,2,138.0,2024-01-02
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,2,138.0,2024-01-02
Carretera Mex-Toluca 48-5,Chilaquiles Roja,1,120.0,2024-01-02
Carretera Mex-Toluca 48-5,Chilaquiles Verde,1,120.0,2024-01-02
Carretera Mex-Toluca 48-5,Café Americano 473ml,2,100.0,2024-01-02
Carretera Mex-Toluca 48-5,Frappes. 473 ml,1,75.0,2024-01-02
Carretera Mex-Toluca 48-5,Café Café Latte 473 ml.,1,69.0,2024-01-02
Carretera Mex-Toluca 48-5,Bigote ,1,69.0,2024-01-02
Carretera Mex-Toluca 48-5,Café Lechero 473ml,1,69.0,2024-01-02
Carretera Mex-Toluca 48-5,Café Café Latte 354 ml.,1,60.0,2024-01-02
Carretera Mex-Toluca 48-5,Café Café de olla 354 ml.,1,55.0,2024-01-02
Carretera Mex-Toluca 48-5,Salsas Cajeta,2,20.0,2024-01-02
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,5,370.0,2024-01-03
Carretera Mex-Toluca 48-5,Café Capuccino 354 ml.,6,360.0,2024-01-03
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,5,345.0,2024-01-03
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,4,260.0,2024-01-03
Carretera Mex-Toluca 48-5,Buñuelos ,6,234.0,2024-01-03
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,3,225.0,2024-01-03
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,3,207.0,2024-01-03
Carretera Mex-Toluca 48-5,Café Chai Latte 354 ml.,3,180.0,2024-01-03
Carretera Mex-Toluca 48-5,Frappes. 473 ml,2,150.0,2024-01-03
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,2,138.0,2024-01-03
Carretera Mex-Toluca 48-5,Sincronizadas ,1,120.0,2024-01-03
Carretera Mex-Toluca 48-5,Chilaquiles Verde,1,120.0,2024-01-03
Carretera Mex-Toluca 48-5,Enchiladas ,1,120.0,2024-01-03
Carretera Mex-Toluca 48-5,Rellenos 1 Pza.,3,87.0,2024-01-03
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,2,78.0,2024-01-03
Carretera Mex-Toluca 48-5,Café Lechero 473ml,1,69.0,2024-01-03
Carretera Mex-Toluca 48-5,Carlota Chocolate,1,60.0,2024-01-03
Carretera Mex-Toluca 48-5,Café Americano 354 ml.,1,43.0,2024-01-03
Carretera Mex-Toluca 48-5,Té 473 ml,1,35.0,2024-01-03
Carretera Mex-Toluca 48-5,Té 354 ml,1,30.0,2024-01-03
Carretera Mex-Toluca 48-5,Salsas Cajeta,1,10.0,2024-01-03
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,11,825.0,2024-01-04
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,10,690.0,2024-01-04
Carretera Mex-Toluca 48-5,Enchiladas ,5,600.0,2024-01-04
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,8,552.0,2024-01-04
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,14,546.0,2024-01-04
Carretera Mex-Toluca 48-5,Churros 12 Pzas.,4,452.0,2024-01-04
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,6,390.0,2024-01-04
Carretera Mex-Toluca 48-5,Buñuelos ,10,390.0,2024-01-04
Carretera Mex-Toluca 48-5,Chilaquiles Verde,3,360.0,2024-01-04
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,4,296.0,2024-01-04
Carretera Mex-Toluca 48-5,Rellenos 1 Pza.,10,290.0,2024-01-04
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,4,276.0,2024-01-04
Carretera Mex-Toluca 48-5,Frappes. 473 ml,3,225.0,2024-01-04
Carretera Mex-Toluca 48-5,Adelitas Española,2,210.0,2024-01-04
Carretera Mex-Toluca 48-5,Malteadas. 473 ml,2,198.0,2024-01-04
Carretera Mex-Toluca 48-5,Café Café de olla 473ml,3,195.0,2024-01-04
Carretera Mex-Toluca 48-5,Café Capuccino 354 ml.,3,180.0,2024-01-04
Carretera Mex-Toluca 48-5,Café Americano 473ml,3,150.0,2024-01-04
Carretera Mex-Toluca 48-5,Café Mocha 473 ml.,2,138.0,2024-01-04
Carretera Mex-Toluca 48-5,Molletes ,1,120.0,2024-01-04
Carretera Mex-Toluca 48-5,Enfrijoladas ,1,120.0,2024-01-04
Carretera Mex-Toluca 48-5,Adelitas Quesos,1,105.0,2024-01-04
Carretera Mex-Toluca 48-5,Café Americano 354 ml.,2,86.0,2024-01-04
Carretera Mex-Toluca 48-5,Granizados. 473 ml,1,75.0,2024-01-04
Carretera Mex-Toluca 48-5,Granizados. 354 ml,1,69.0,2024-01-04
Carretera Mex-Toluca 48-5,Café Café Latte 473 ml.,1,69.0,2024-01-04
Carretera Mex-Toluca 48-5,Frappes. 354 ml,1,69.0,2024-01-04
Carretera Mex-Toluca 48-5,Café Lechero 473ml,1,69.0,2024-01-04
Carretera Mex-Toluca 48-5,Café Café Latte 354 ml.,1,60.0,2024-01-04
Carretera Mex-Toluca 48-5,Café Espresso 60 ml.,1,39.0,2024-01-04
Carretera Mex-Toluca 48-5,Leche vegetal ,1,12.0,2024-01-04
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,7,525.0,2024-01-05
Carretera Mex-Toluca 48-5,Molletes ,3,360.0,2024-01-05
Carretera Mex-Toluca 48-5,Buñuelos ,6,234.0,2024-01-05
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,6,234.0,2024-01-05
Carretera Mex-Toluca 48-5,Café Chai Latte 473 ml.,3,207.0,2024-01-05
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,3,195.0,2024-01-05
Carretera Mex-Toluca 48-5,Café Capuccino 354 ml.,3,180.0,2024-01-05
Carretera Mex-Toluca 48-5,Rellenos 1 Pza.,6,174.0,2024-01-05
Carretera Mex-Toluca 48-5,Café Americano 354 ml.,4,172.0,2024-01-05
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,2,138.0,2024-01-05
Carretera Mex-Toluca 48-5,Café Café Latte 473 ml.,2,138.0,2024-01-05
Carretera Mex-Toluca 48-5,Chilaquiles Roja,1,120.0,2024-01-05
Carretera Mex-Toluca 48-5,Café Lechero 354 ml.,2,120.0,2024-01-05
Carretera Mex-Toluca 48-5,Enfrijoladas ,1,120.0,2024-01-05
Carretera Mex-Toluca 48-5,Churros 12 Pzas.,1,113.0,2024-01-05
Carretera Mex-Toluca 48-5,Café Café de olla 354 ml.,2,110.0,2024-01-05
Carretera Mex-Toluca 48-5,Frappes. 473 ml,1,75.0,2024-01-05
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,1,74.0,2024-01-05
Carretera Mex-Toluca 48-5,Té 473 ml,2,70.0,2024-01-05
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,1,69.0,2024-01-05
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,1,69.0,2024-01-05
Carretera Mex-Toluca 48-5,Café Mocha 473 ml.,1,69.0,2024-01-05
Carretera Mex-Toluca 48-5,Café Café de olla 473ml,1,65.0,2024-01-05
Carretera Mex-Toluca 48-5,Té 354 ml,2,60.0,2024-01-05
Carretera Mex-Toluca 48-5,Café Americano 473ml,1,50.0,2024-01-05
Carretera Mex-Toluca 48-5,Agua ,1,25.0,2024-01-05
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,6,414.0,2024-01-06
Carretera Mex-Toluca 48-5,Enchiladas ,3,360.0,2024-01-06
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,4,300.0,2024-01-06
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,4,260.0,2024-01-06
Carretera Mex-Toluca 48-5,Molletes ,2,240.0,2024-01-06
Carretera Mex-Toluca 48-5,Café Lechero 354 ml.,3,180.0,2024-01-06
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,4,156.0,2024-01-06
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,2,148.0,2024-01-06
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,2,138.0,2024-01-06
Carretera Mex-Toluca 48-5,Café Café Latte 473 ml.,2,138.0,2024-01-06
Carretera Mex-Toluca 48-5,Café Americano 354 ml.,3,129.0,2024-01-06
Carretera Mex-Toluca 48-5,Chilaquiles Verde,1,120.0,2024-01-06
Carretera Mex-Toluca 48-5,Enfrijoladas ,1,120.0,2024-01-06
Carretera Mex-Toluca 48-5,Sincronizadas ,1,120.0,2024-01-06
Carretera Mex-Toluca 48-5,Buñuelos ,3,117.0,2024-01-06
Carretera Mex-Toluca 48-5,Rellenos 1 Pza.,4,116.0,2024-01-06
Carretera Mex-Toluca 48-5,Churros 12 Pzas.,1,113.0,2024-01-06
Carretera Mex-Toluca 48-5,Adelitas Española,1,105.0,2024-01-06
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,1,69.0,2024-01-06
Carretera Mex-Toluca 48-5,Café Chai Latte 473 ml.,1,69.0,2024-01-06
Carretera Mex-Toluca 48-5,Café Café de olla 473ml,1,65.0,2024-01-06
Carretera Mex-Toluca 48-5,Café Mocha 354 ml.,1,60.0,2024-01-06
Carretera Mex-Toluca 48-5,Café Café de olla 354 ml.,1,55.0,2024-01-06
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,13,845.0,2024-01-07
Carretera Mex-Toluca 48-5,Churros 12 Pzas.,6,678.0,2024-01-07
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,8,600.0,2024-01-07
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,8,552.0,2024-01-07
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,8,552.0,2024-01-07
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,11,429.0,2024-01-07
Carretera Mex-Toluca 48-5,Buñuelos ,10,390.0,2024-01-07
Carretera Mex-Toluca 48-5,Café Mocha 354 ml.,5,300.0,2024-01-07
Carretera Mex-Toluca 48-5,Café Capuccino 354 ml.,5,300.0,2024-01-07
Carretera Mex-Toluca 48-5,Café Lechero 473ml,4,276.0,2024-01-07
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,4,276.0,2024-01-07
Carretera Mex-Toluca 48-5,Rellenos 1 Pza.,9,261.0,2024-01-07
Carretera Mex-Toluca 48-5,Café Café de olla 473ml,3,195.0,2024-01-07
Carretera Mex-Toluca 48-5,Café Americano 354 ml.,4,172.0,2024-01-07
Carretera Mex-Toluca 48-5,Frappes. 354 ml,2,138.0,2024-01-07
Carretera Mex-Toluca 48-5,Enchiladas ,1,120.0,2024-01-07
Carretera Mex-Toluca 48-5,Enfrijoladas ,1,120.0,2024-01-07
Carretera Mex-Toluca 48-5,Café Americano 473ml,2,100.0,2024-01-07
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,1,74.0,2024-01-07
Carretera Mex-Toluca 48-5,Té 473 ml,2,70.0,2024-01-07
Carretera Mex-Toluca 48-5,Café Café Latte 473 ml.,1,69.0,2024-01-07
Carretera Mex-Toluca 48-5,Granizados. 354 ml,1,69.0,2024-01-07
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,8,552.0,2024-01-08
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,6,444.0,2024-01-08
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,6,414.0,2024-01-08
Carretera Mex-Toluca 48-5,Café Capuccino 354 ml.,4,240.0,2024-01-08
Carretera Mex-Toluca 48-5,Churros 12 Pzas.,2,226.0,2024-01-08
Carretera Mex-Toluca 48-5,Café Americano 354 ml.,5,215.0,2024-01-08
Carretera Mex-Toluca 48-5,Adelitas Española,2,210.0,2024-01-08
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,5,195.0,2024-01-08
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,2,150.0,2024-01-08
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,2,130.0,2024-01-08
Carretera Mex-Toluca 48-5,Sincronizadas ,1,120.0,2024-01-08
Carretera Mex-Toluca 48-5,Molletes ,1,120.0,2024-01-08
Carretera Mex-Toluca 48-5,Café Espresso 60 ml.,3,117.0,2024-01-08
Carretera Mex-Toluca 48-5,Rellenos 1 Pza.,4,116.0,2024-01-08
Carretera Mex-Toluca 48-5,Adelitas Jamón y Queso,1,105.0,2024-01-08
Carretera Mex-Toluca 48-5,Buñuelos ,2,78.0,2024-01-08
Carretera Mex-Toluca 48-5,Té 473 ml,2,70.0,2024-01-08
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,1,69.0,2024-01-08
Carretera Mex-Toluca 48-5,Café Mocha 473 ml.,1,69.0,2024-01-08
Carretera Mex-Toluca 48-5,Café Chai Latte 473 ml.,1,69.0,2024-01-08
Carretera Mex-Toluca 48-5,Café Chai Latte 354 ml.,1,60.0,2024-01-08
Carretera Mex-Toluca 48-5,Café Lechero 354 ml.,1,60.0,2024-01-08
Carretera Mex-Toluca 48-5,Comienza un Dulce Dia ,1,55.0,2024-01-08
Carretera Mex-Toluca 48-5,Café Americano 473ml,1,50.0,2024-01-08
Carretera Mex-Toluca 48-5,Té 354 ml,1,30.0,2024-01-08
Carretera Mex-Toluca 48-5,Refresco ,1,30.0,2024-01-08
Carretera Mex-Toluca 48-5,Agua ,1,25.0,2024-01-08
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,5,345.0,2024-01-09
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,4,260.0,2024-01-09
Carretera Mex-Toluca 48-5,Chilaquiles Verde,2,240.0,2024-01-09
Carretera Mex-Toluca 48-5,Buñuelos ,6,234.0,2024-01-09
Carretera Mex-Toluca 48-5,Churros 12 Pzas.,2,226.0,2024-01-09
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,3,225.0,2024-01-09
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,2,138.0,2024-01-09
Carretera Mex-Toluca 48-5,Café Café de olla 473ml,2,130.0,2024-01-09
Carretera Mex-Toluca 48-5,Café Americano 354 ml.,3,129.0,2024-01-09
Carretera Mex-Toluca 48-5,Sincronizadas ,1,120.0,2024-01-09
Carretera Mex-Toluca 48-5,Enchiladas ,1,120.0,2024-01-09
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,1,74.0,2024-01-09
Carretera Mex-Toluca 48-5,Café Lechero 473ml,1,69.0,2024-01-09
Carretera Mex-Toluca 48-5,Café Chai Latte 473 ml.,1,69.0,2024-01-09
Carretera Mex-Toluca 48-5,Carlota Fresa,1,60.0,2024-01-09
Carretera Mex-Toluca 48-5,Carlota Chocolate,1,60.0,2024-01-09
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,1,39.0,2024-01-09
Carretera Mex-Toluca 48-5,Rellenos 1 Pza.,1,29.0,2024-01-09
Carretera Mex-Toluca 48-5,Salsas Chocolate,1,10.0,2024-01-09
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,7,525.0,2024-01-10
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,7,483.0,2024-01-10
Carretera Mex-Toluca 48-5,Buñuelos ,11,429.0,2024-01-10
Carretera Mex-Toluca 48-5,Enchiladas ,3,360.0,2024-01-10
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,5,345.0,2024-01-10
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,7,273.0,2024-01-10
Carretera Mex-Toluca 48-5,Café Americano 473ml,5,250.0,2024-01-10
Carretera Mex-Toluca 48-5,Chilaquiles Verde,2,240.0,2024-01-10
Carretera Mex-Toluca 48-5,Molletes ,2,240.0,2024-01-10
Carretera Mex-Toluca 48-5,Sincronizadas ,2,240.0,2024-01-10
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,3,222.0,2024-01-10
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,3,195.0,2024-01-10
Carretera Mex-Toluca 48-5,Café Mocha 473 ml.,2,138.0,2024-01-10
Carretera Mex-Toluca 48-5,Café Mocha 354 ml.,2,120.0,2024-01-10
Carretera Mex-Toluca 48-5,Enfrijoladas ,1,120.0,2024-01-10
Carretera Mex-Toluca 48-5,Café Café Latte 473 ml.,1,69.0,2024-01-10
Carretera Mex-Toluca 48-5,Café Lechero 473ml,1,69.0,2024-01-10
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,1,69.0,2024-01-10
Carretera Mex-Toluca 48-5,Café Café de olla 473ml,1,65.0,2024-01-10
Carretera Mex-Toluca 48-5,Café Chai Latte 354 ml.,1,60.0,2024-01-10
Carretera Mex-Toluca 48-5,Café Café de olla 354 ml.,1,55.0,2024-01-10
Carretera Mex-Toluca 48-5,Rellenos 1 Pza.,1,29.0,2024-01-10
Carretera Mex-Toluca 48-5,Salsas Cajeta,1,10.0,2024-01-10
Carretera Mex-Toluca 48-5,Chilaquiles Verde,4,480.0,2024-01-11
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,6,444.0,2024-01-11
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,6,414.0,2024-01-11
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,8,312.0,2024-01-11
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,4,300.0,2024-01-11
Carretera Mex-Toluca 48-5,Adelitas Jamón y Queso,2,210.0,2024-01-11
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,3,207.0,2024-01-11
Carretera Mex-Toluca 48-5,Frappes. 473 ml,2,150.0,2024-01-11
Carretera Mex-Toluca 48-5,Rellenos 1 Pza.,5,145.0,2024-01-11
Carretera Mex-Toluca 48-5,Café Mocha 473 ml.,2,138.0,2024-01-11
Carretera Mex-Toluca 48-5,Café Chai Latte 473 ml.,2,138.0,2024-01-11
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,2,138.0,2024-01-11
Carretera Mex-Toluca 48-5,Café Americano 354 ml.,3,129.0,2024-01-11
Carretera Mex-Toluca 48-5,Enchiladas ,1,120.0,2024-01-11
Carretera Mex-Toluca 48-5,Sincronizadas ,1,120.0,2024-01-11
Carretera Mex-Toluca 48-5,Buñuelos ,3,117.0,2024-01-11
Carretera Mex-Toluca 48-5,Adelitas Quesos,1,105.0,2024-01-11
Carretera Mex-Toluca 48-5,Café Café Latte 473 ml.,1,69.0,2024-01-11
Carretera Mex-Toluca 48-5,Frappes. 354 ml,1,69.0,2024-01-11
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,1,65.0,2024-01-11
Carretera Mex-Toluca 48-5,Café Lechero 354 ml.,1,60.0,2024-01-11
Carretera Mex-Toluca 48-5,Carlota Fresa,1,60.0,2024-01-11
Carretera Mex-Toluca 48-5,Café Café de olla 354 ml.,1,55.0,2024-01-11
Carretera Mex-Toluca 48-5,Café Americano 473ml,1,50.0,2024-01-11
Carretera Mex-Toluca 48-5,Churro Extra ,1,25.0,2024-01-11
Carretera Mex-Toluca 48-5,Molletes ,7,840.0,2024-01-12
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,8,600.0,2024-01-12
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,6,414.0,2024-01-12
Carretera Mex-Toluca 48-5,Churros 12 Pzas.,3,339.0,2024-01-12
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,8,312.0,2024-01-12
Carretera Mex-Toluca 48-5,Enchiladas ,2,240.0,2024-01-12
Carretera Mex-Toluca 48-5,Sincronizadas ,2,240.0,2024-01-12
Carretera Mex-Toluca 48-5,Café Capuccino 354 ml.,4,240.0,2024-01-12
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,3,207.0,2024-01-12
Carretera Mex-Toluca 48-5,Rellenos 1 Pza.,6,174.0,2024-01-12
Carretera Mex-Toluca 48-5,Café Americano 473ml,3,150.0,2024-01-12
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,2,148.0,2024-01-12
Carretera Mex-Toluca 48-5,Frappes. 354 ml,2,138.0,2024-01-12
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,2,138.0,2024-01-12
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,2,130.0,2024-01-12
Carretera Mex-Toluca 48-5,Chilaquiles Verde,1,120.0,2024-01-12
Carretera Mex-Toluca 48-5,Enfrijoladas ,1,120.0,2024-01-12
Carretera Mex-Toluca 48-5,Té 473 ml,3,105.0,2024-01-12
Carretera Mex-Toluca 48-5,Café Americano 354 ml.,2,86.0,2024-01-12
Carretera Mex-Toluca 48-5,Frappes. 473 ml,1,75.0,2024-01-12
Carretera Mex-Toluca 48-5,Granizados. 473 ml,1,75.0,2024-01-12
Carretera Mex-Toluca 48-5,Granizados. 354 ml,1,69.0,2024-01-12
Carretera Mex-Toluca 48-5,Café Café de olla 473ml,1,65.0,2024-01-12
Carretera Mex-Toluca 48-5,Café Mocha 354 ml.,1,60.0,2024-01-12
Carretera Mex-Toluca 48-5,Café Café Latte 354 ml.,1,60.0,2024-01-12
Carretera Mex-Toluca 48-5,Café Café de olla 354 ml.,1,55.0,2024-01-12
Carretera Mex-Toluca 48-5,Café Espresso 60 ml.,1,39.0,2024-01-12
Carretera Mex-Toluca 48-5,Buñuelos ,1,39.0,2024-01-12
Carretera Mex-Toluca 48-5,Té 354 ml,1,30.0,2024-01-12
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,20,1380.0,2024-01-13
Carretera Mex-Toluca 48-5,Chocolate . 473 ml,10,750.0,2024-01-13
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,11,715.0,2024-01-13
Carretera Mex-Toluca 48-5,Chocolate . 354 ml,8,552.0,2024-01-13
Carretera Mex-Toluca 48-5,Churros 3 Pzas.,14,546.0,2024-01-13
Carretera Mex-Toluca 48-5,Rellenos 3 Pzas.,6,444.0,2024-01-13
Carretera Mex-Toluca 48-5,Buñuelos ,11,429.0,2024-01-13
Carretera Mex-Toluca 48-5,Café Capuccino 354 ml.,7,420.0,2024-01-13
Carretera Mex-Toluca 48-5,Enfrijoladas ,2,240.0,2024-01-13
Carretera Mex-Toluca 48-5,Rellenos 1 Pza.,8,232.0,2024-01-13
Carretera Mex-Toluca 48-5,Malteadas. 473 ml,2,198.0,2024-01-13
Carretera Mex-Toluca 48-5,Malteadas. 354 ml,2,170.0,2024-01-13
Carretera Mex-Toluca 48-5,Café Americano 473ml,3,150.0,2024-01-13
Carretera Mex-Toluca 48-5,Café Chai Latte 473 ml.,2,138.0,2024-01-13
Carretera Mex-Toluca 48-5,Sincronizadas ,1,120.0,2024-01-13
Carretera Mex-Toluca 48-5,Molletes ,1,120.0,2024-01-13
Carretera Mex-Toluca 48-5,Enchiladas ,1,120.0,2024-01-13
Carretera Mex-Toluca 48-5,Churros 12 Pzas.,1,113.0,2024-01-13
Carretera Mex-Toluca 48-5,Adelitas Jamón y Queso,1,105.0,2024-01-13
Carretera Mex-Toluca 48-5,Café Americano 354 ml.,2,86.0,2024-01-13
Carretera Mex-Toluca 48-5,Frappes. 473 ml,1,75.0,2024-01-13
Carretera Mex-Toluca 48-5,Granizados. 473 ml,1,75.0,2024-01-13
Carretera Mex-Toluca 48-5,Café Capuccino 473 ml.,1,69.0,2024-01-13
Carretera Mex-Toluca 48-5,Café Café Latte 473 ml.,1,69.0,2024-01-13
Carretera Mex-Toluca 48-5,Café Lechero 354 ml.,1,60.0,2024-01-13
Carretera Mex-Toluca 48-5,Té 354 ml,2,60.0,2024-01-13
Carretera Mex-Toluca 48-5,Café Chai Latte 354 ml.,1,60.0,2024-01-13
Carretera Mex-Toluca 48-5,Café Café de olla 354 ml.,1,55.0,2024-01-13
Carretera Mex-Toluca 48-5,Salsas Cajeta,1,10.0,2024-01-13
Carretera Mex-Toluca 48-5,Churros 6 Pzas.,12,780.0,2024-01-14
Carretera Mex-Toluca 48-5,Mini Churros 15 Pzas.,10,690.0,2024-01-14
